Year,Status,Award,Media,Media2,Name,Url,Error
2002,Winner,Feature Journalism Affiliated,CSMonitor.com,,All Aboard?,http://www.csmonitor.com/specials/amtrak/index.html,200
2002,Winner,Feature Journalism Independent,DigitalJournalist.org,,Seeing The Horror,http://dirckhalstead.org/issue0110/seeing_intro.htm,timeout
2002,Winner,General Excellence in Online Journalism Affiliated Small,Frontline/World,,Stories from a Small Planet,http://www.pbs.org/frontlineworld,200
2002,Winner,Service Journalism Independent,Gotham Gazette,,Rebulding NYC,http://www.gothamgazette.com/rebuilding_nyc,200
2002,Winner,Online Commentary,Mark Fiore,,Mark Fiore,http://www.markfiore.com,301
2002,Winner,Creative Use of the Medium Affiliated,MSNBC,,Airport Security,http://www.msnbc.com/modules/airport_security/airsecurity_front.asp,200
2002,Winner,Creative Use of the Medium Independent,Slate,,The Enron Blame Game,http://slate.msn.com/?id=2061470,200
2002,Winner,Enterprise Journalism Affiliated,Washington Post,,Blue Wall of Silence,http://www.washingtonpost.com/wp-dyn/metro/md/princegeorges/government/police/shootings/,200
2002,Winner,General Excellence in Online Journalism Affiliated Large,Washington Post,,,http://www.washingtonpost.com,200
2003,Finalist,,BBC News,,,http://news.bbc.co.uk/,verified
2003,Finalist,,BeliefNet,,Franklin Graham’s planned relief trip to Iraq,http://www.beliefnet.com/archive/index_030327.html,200
2003,Finalist,,CBC News,,Canadian healthcare system,http://www.cbc.ca/healthcare,200
2003,Finalist,,Center for Public Integrity,,Making a Killing: The Business of War,http://www.icij.org/dtaweb/icij_bow.asp,301
2003,Finalist,,Center for Public Integrity,,,http://www.publicintegrity.org/,200
2003,Finalist,,CNET,,Digital Remix,http://news.com.com/2009-1027_3-1009395.html,timeout
2003,Finalist,,CNN,,America Remembers: September 11,http://www.cnn.com/SPECIALS/2002/america.remembers,200
2003,Finalist,,Common Sense,,James B. Stewart,http://www.smartmoney.com/commonsense/index.cfm?story=20020702,200
2003,Finalist,,ConsumerWebWatch.org,,Spyware Everywhere,http://www.consumerwebwatch.org/news/articles/spyware.htm,200
2003,Finalist,,Dallas Morning News,,Coverage of the shuttle Columbia,http://www.wfaa.com/sharedcontent/dallas/specialreports/2003/columbia/index.html,200
2003,Finalist,,Washington Post,,Coverage of the sniper attacks in and around Washington,http://www.washingtonpost.com/wp-srv/metro/daily/oct02/snipershootings.htm,200
2003,Finalist,,Philip Robertson,,Dispatches from Iraq,http://dir.salon.com/topics/phillip_robertson/index.html,timeout
2003,Finalist,,Frontline/World,,,http://www.pbs.org/frontlineworld/,200
2003,Finalist,,Gotham Gazette,,Budget Game,http://www.gothamgazette.com/budgetgame/budgetgame.html,200
2003,Finalist,,Gotham Gazette,,Community Gazettes,http://www.gothamgazette.com/community,200
2003,Finalist,,KQED,,You Decide,http://www.kqed.org/youdecide/,301
2003,Finalist,,KQED,Frontline,Cambodia Reporter’s Diary: In Search of Justice,http://www.pbs.org/frontlineworld/stories/cambodia/diary.html,200
2003,Finalist,,Los Angeles Times,,Enrique’s Journey,http://www.latimes.com/enrique,301
2003,Finalist,,Mark Fiore,,,http://www.markfiore.com/animation/liberation.html,301
2003,Finalist,,MSN Money,,Decision Centers,http://money.msn.com/articles/specials/DC_promo.asp,timeout
2003,Finalist,,MSNBC,,The Year in Pictures 2002,http://www.msnbc.com/modules/yip02/,200
2003,Finalist,,New York Times,,Coverage of the shuttle Columbia,http://www.nytimes.com/packages/html/national/columbia.html,200
2003,Finalist,,New York Times,,Dangerous Business,http://www.nytimes.com/packages/html/national/mcwane.html,200
2003,Finalist,,New York Times,,,http://www.nytimes.com/,200
2003,Finalist,,PackerInsider.com,,,http://www.packerinsider.com,200
2003,Finalist,,Providence Journal,,Fire at The Station nightclub,http://www.projo.com/extra/2003/stationfire/,200
2003,Finalist,,Salon,,Since You Asked,http://dir.salon.com/topics/cary_tennis/index.html,timeout
2003,Finalist,,Slate,,,http://slate.msn.com/,200
2003,Finalist,,Space.com,,The New History of Black Holes,http://www.space.com/scienceastronomy/blackhole_history_030128-1.html,200
2003,Finalist,,Space.com,,,http://www.space.com/,200
2003,Finalist,,American Prospect,,Noy Thrupkaew for her columns on everyday life,http://www.prospect.org/webfeatures/2002/08/thrupkaew-n-08-23.html,200
2003,Finalist,,Center for Public Integrity,,The Water Barons,http://www.icij.org/water/,301
2003,Finalist,,Council on Foreign Relations,,The Source for Ideas and Information,http://www.cfr.org/thesource,200
2003,Finalist,,Street,,Plenty of Options for EBay,http://www.thestreet.com/tsc/contest2003/ebay.html,200
2003,Finalist,,Wall Street Journal,,,http://online.wsj.com/,200
2003,Finalist,,USA TODAY,,Clearing the Skies,http://www.usatoday.com/news/sept11/2002-08-12-clearskies_x.htm,200
2003,Finalist,,VillageSoup.com,,,http://www.villagesoup.com/,200
2003,Finalist,,Washington Post,,Coverage of the war in Iraq,http://www.washingtonpost.com/wp-srv/test/sheppard/ona2003/21Mar748p.htm,200
2003,Finalist,,Winston-Salem Journal,,Against their Will,http://againsttheirwill.journalnow.com,#N/A
2003,Finalist,,Wired,,Suicide 101,"http://www.wired.com/news/culture/0,1284,57444,00.html",200
2003,Winner,General Excellence in Online Journalism Independent Large,BeliefNet,,,http://beliefnet.com/,verified
2003,Winner,Enterprise Journalism Affiliated,Boston.com,,Coverage of the priest abuse scandal,http://www.boston.com/globe/spotlight/abuse/overview/,200
2003,Winner,Service Journalism Affiliated,CBC News,,Coverage of SARS,http://www.cbc.ca/news/background/sars/,200
2003,Winner,General Excellence in Online Journalism Affiliated Small,Congressional Quarterly,,,http://www.cq.com/,200
